"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1006.7","1010.2","26.2","20.3","70","1.6","100","3.6","120","0.0","0.0","...","0.00","...","0","..."
"02","1006.3","1009.8","25.9","20.7","73","1.1","160","2.9","100","0.0","0.0","...","0.00","...","0","..."
"03","1006.3","1009.8","25.5","20.5","74","0.9","190","3.1","180","0.0","0.0","...","0.00","...","0","..."
"04","1006.1","1009.6","25.2","20.5","75","1.4","170","3.2","170","0.0","0.0","...","0.00","...","0","..."
"05","1006.5","1010.0","24.8","20.5","77","1.3","140","3.3","170","0.0","0.0","...","0.00","...","0","..."
"06","1006.9","1010.4","25.1","20.4","75","1.1","170","2.7","180","0.0","0.0","0.0","0.06","...","0","..."
"07","1007.4","1010.9","25.8","19.9","70","1.2","190","2.6","160","0.0","0.0","0.0","0.60","...","1","..."
"08","1007.5","1011.0","27.5","19.1","60","0.7","140","3.1","140","0.0","0.0","0.9","1.24","30.0","2","7.0"
"09","1007.6","1011.1","29.6","19.7","55","0.8","10","2.4","110","0.0","0.0","1.0","1.80","30.0","4","7.0"
"10","1007.5","1010.9","30.8","19.5","51","1.5","50","3.6","100","0.0","0.0","0.9","2.17","...","6","8.0"
"11","1007.1","1010.5","31.8","19.5","48","0.6","190","2.9","130","0.0","0.0","0.9","2.41","30.0","7","9.0"
"12","1006.4","1009.8","31.3","19.3","49","1.4","110","3.5","290","0.0","0.0","0.2","1.79","...","6","10.0"
"13","1005.9","1009.3","32.7","20.2","48","0.5","V","4.2","30","0.0","0.0","0.3","2.02","...","7","10.0"
"14","1005.5","1008.9","32.6","19.9","47","1.2","260","7.0","40","0.0","0.0","0.9","2.65","24.0","8","9.0"
"15","1005.1","1008.5","31.2","20.6","53","1.7","300","6.9","280","0.0","0.0","0.4","1.75","...","5","10.0"
"16","1004.9","1008.3","30.2","22.5","63","0.5","V","5.0","100","0.0","0.0","0.0","0.39","...","1","10.0"
"17","1005.2","1008.6","29.4","22.5","66","1.6","120","4.6","130","0.0","0.0","0.0","0.00","18.0","0","10.0"
"18","1005.4","1008.9","29.0","21.8","65","2.5","130","4.3","150","0.0","0.0","0.0","0.00","...","0","..."
"19","1005.9","1009.4","28.6","21.6","66","1.6","150","4.8","130","0.0","0.0","0.0","0.00","...","0","..."
"20","1006.6","1010.1","28.5","21.0","64","1.9","100","4.5","140","0.0","0.0","...","0.00","...","0","..."
"21","1006.8","1010.3","28.3","21.1","65","1.7","110","4.1","70","0.0","0.0","...","0.00","...","0","..."
"22","1006.8","1010.3","27.9","20.2","63","2.2","90","3.5","120","0.0","0.0","...","0.00","...","0","..."
"23","1006.5","1010.0","27.8","20.6","65","0.7","80","2.6","80","0.0","0.0","...","0.00","...","0","..."
"24","1005.8","1009.3","27.3","21.0","69","1.5","100","2.9","140","0.0","0.0","...","0.00","...","0","..."